1754006400000000,0.67000000,0.67500000,0.65300000,0.66800000,2505882.40000000,1754009999999999,1663375.66470000,13998,1052387.30000000,698347.90840000,0
1754010000000000,0.66800000,0.67300000,0.66100000,0.66900000,1390119.80000000,1754013599999999,928662.34290000,7046,624348.60000000,417277.62250000,0
1754013600000000,0.66800000,0.67400000,0.66500000,0.67100000,701914.40000000,1754017199999999,470607.73520000,3011,356858.40000000,239344.50830000,0
1754017200000000,0.67000000,0.67400000,0.66700000,0.66900000,626901.70000000,1754020799999999,420028.89900000,2232,237534.60000000,159396.48760000,0
1754020800000000,0.66900000,0.66900000,0.66100000,0.66400000,1792421.60000000,1754024399999999,1190723.84410000,3276,779672.20000000,517972.44970000,0
1754024400000000,0.66300000,0.66700000,0.65800000,0.66200000,975847.30000000,1754027999999999,647170.08650000,3457,383112.40000000,254119.84730000,0
1754028000000000,0.66100000,0.66300000,0.65100000,0.65700000,1012741.70000000,1754031599999999,664747.13480000,4293,423305.90000000,277921.03030000,0
1754031600000000,0.65800000,0.66100000,0.65300000,0.65900000,1840158.80000000,1754035199999999,1209050.31560000,4840,1006510.60000000,661595.09750000,0
1754035200000000,0.66000000,0.66000000,0.63900000,0.64800000,4320655.10000000,1754038799999999,2792871.94840000,11322,1848341.90000000,1194435.18160000,0
1754038800000000,0.64800000,0.65700000,0.64800000,0.65200000,1570519.00000000,1754042399999999,1026521.32890000,3708,750546.10000000,490739.18830000,0
1754042400000000,0.65100000,0.65700000,0.65100000,0.65400000,679145.10000000,1754045999999999,444045.54730000,2229,390336.50000000,255365.56620000,0
1754046000000000,0.65500000,0.65800000,0.65000000,0.65800000,551371.90000000,1754049599999999,360605.32440000,1876,228912.30000000,149808.31450000,0
1754049600000000,0.65800000,0.66600000,0.65400000,0.66300000,2111210.40000000,1754053199999999,1395997.44770000,6365,1146357.30000000,758450.07020000,0
1754053200000000,0.66300000,0.66600000,0.63800000,0.64600000,3484623.60000000,1754056799999999,2265671.65210000,8180,1278612.70000000,832399.30550000,0
1754056800000000,0.64500000,0.66500000,0.64000000,0.66200000,2984067.10000000,1754060399999999,1953651.68580000,9819,1666763.90000000,1091902.84030000,0
1754060400000000,0.66200000,0.66300000,0.65000000,0.65800000,1765155.40000000,1754063999999999,1156892.81710000,6310,845307.70000000,553866.16130000,0
1754064000000000,0.65800000,0.66200000,0.64600000,0.64700000,1252890.50000000,1754067599999999,820775.33130000,5548,559423.00000000,366691.85910000,0
1754067600000000,0.64700000,0.65100000,0.63800000,0.64100000,1266959.60000000,1754071199999999,815904.07300000,6133,607796.80000000,391645.98000000,0
1754071200000000,0.64100000,0.64600000,0.63300000,0.63900000,2086010.60000000,1754074799999999,1333764.47980000,10717,1031069.20000000,659438.81940000,0
1754074800000000,0.63800000,0.64800000,0.63700000,0.64600000,1638150.60000000,1754078399999999,1051065.15240000,8623,783166.10000000,502304.00920000,0
1754078400000000,0.64600000,0.65000000,0.62800000,0.64000000,2373826.40000000,1754081999999999,1513329.81480000,7252,1062683.60000000,678000.45920000,0
1754082000000000,0.64000000,0.64700000,0.63900000,0.64100000,1493522.70000000,1754085599999999,961016.36400000,5246,522738.00000000,336427.55690000,0
1754085600000000,0.64200000,0.64200000,0.62100000,0.63000000,3496545.50000000,1754089199999999,2194853.19750000,13041,1663204.50000000,1043413.01050000,0
1754089200000000,0.63000000,0.64000000,0.62900000,0.63800000,988119.50000000,1754092799999999,627964.81760000,4746,376759.50000000,239503.36110000,0
1754092800000000,0.63800000,0.64300000,0.63400000,0.64100000,753229.90000000,1754096399999999,480388.95030000,3172,340958.20000000,217617.00320000,0
1754096400000000,0.64200000,0.64400000,0.63700000,0.64100000,577417.60000000,1754099999999999,369869.17920000,2019,288321.70000000,184775.29420000,0
1754100000000000,0.64100000,0.64300000,0.63900000,0.64200000,341183.80000000,1754103599999999,218822.32550000,1440,158763.60000000,101871.05680000,0
1754103600000000,0.64200000,0.64400000,0.63900000,0.64200000,525640.50000000,1754107199999999,337110.24600000,1684,241512.20000000,154958.82320000,0
1754107200000000,0.64100000,0.64400000,0.63800000,0.64200000,582801.40000000,1754110799999999,373429.64030000,2260,287380.10000000,184269.41830000,0
1754110800000000,0.64200000,0.64300000,0.63900000,0.64000000,581559.40000000,1754114399999999,372557.68050000,1598,168081.10000000,107739.75320000,0
1754114400000000,0.64000000,0.64100000,0.62300000,0.62700000,1402474.10000000,1754117999999999,883084.26440000,3841,488386.00000000,307255.71300000,0
1754118000000000,0.62700000,0.63800000,0.62200000,0.63700000,1211418.60000000,1754121599999999,763571.85760000,4452,800088.90000000,503983.34280000,0
1754121600000000,0.63700000,0.63900000,0.62800000,0.62800000,1164753.90000000,1754125199999999,737783.00250000,3626,498931.70000000,316477.17250000,0
1754125200000000,0.62900000,0.63400000,0.62800000,0.63300000,881206.00000000,1754128799999999,556721.11960000,3609,402172.10000000,254163.86740000,0
1754128800000000,0.63200000,0.63500000,0.62400000,0.62800000,1020068.40000000,1754132399999999,640892.25660000,4515,490751.20000000,308622.83630000,0
1754132400000000,0.62900000,0.63400000,0.62400000,0.62900000,769079.70000000,1754135999999999,484032.01480000,3032,355890.60000000,224048.96950000,0
1754136000000000,0.63000000,0.63000000,0.62200000,0.62900000,840314.90000000,1754139599999999,525830.78410000,3204,345148.60000000,215980.65290000,0
1754139600000000,0.62800000,0.63000000,0.62300000,0.62800000,1025912.50000000,1754143199999999,642474.86710000,3263,396007.00000000,248121.63490000,0
